Orionintie|24.76728,60.18267
Niittymäentie|
Hiuslinna|24.7404682,60.2409454
Narvankuja|
Matinkuja|
Niittylaakso|
Turuntie|
Espoonlahdenranta|
Lindex|24.7384659,60.1612632
Rakennus- ja ympäristötekniikka|24.831184761764707,60.18705947941176
Keihäsrinne|
Seljamäki|
Hopeakuja|
Uunimestarintie|
Kivipylvääntie|
Mäensyrjä|
Kelohongantie|
Meripoiju|
Bellinrinne|
Lippajärven uimapaikka|24.733905,60.2310579
Tähtiniityn ja Tähtitarhan koulu|24.72602703684211,60.16719079473685
Veräjäpellonkatu|
K-Citymarket Sello|24.8100837,60.2181338
Kattilarinne|
Tuhkurinranta|
Taavinsuo|
Hiihtomaja|24.696906,60.1773536
Taka-Niipperin tie|
Inglaksenrinne|
Veinin urh. kenttä|24.764489400000002,60.24355142
Raadenhammas|24.830777246153847,60.17492313076923
Ylänkörinne|
Tapiola Pizza|24.8165429,60.17882
Pitäjänristi|
Olkiniitty|
Laajalahden kirjasto|24.8057197,60.2040755
Kioski-kahvila Sokeritoppa|24.8125762,60.2160728
Läkkipolku|
Koukkuniemenportti|
Lidl Mikkelä|24.636604,60.207764
Karhusuontie|
Åminnentie|
Hiidenkuja|
Lasitiili|24.6930265,60.159349
Automuseo|24.6689599,60.2752786
Orionintie|
YTHS|24.832048919999995,60.19090403333333
Kauppamiehentie|
Oittaan ulkoilukeskus ja kartano|24.6576508,60.2415227
Joupinkuja|
Kuukunkorventie|
Hans Floorin Polku|
Ysi5|24.7523809,60.2089696
Haltilanmäki|
Rullaniementie|
Heikunankuja|
ELEC Suurjännitelaboratorio|24.831646013636362,60.189696681818184
Vanhan-Mankkaan polku|
Kielotie|
Sähkömiehentie|
Haukiverkko|
Hedelmäkuja|
Vanha kylätie|
Pitkännotkontie 21; 23|
Korpimaa|
Kersantinpolku|
Iivisniemen koulu|24.701998044444448,60.1463593
Nihtisillankuja|
Jupperin kirjasto|24.769210390909087,60.24548666363636
Siuntionkujan päiväkoti|24.78398887142857,60.211321242857146
Soihtukaari|
Iltaruskontie|
Rantanuotankuja|
Pizzataxi|24.8020703,60.1758054
Unikulma|24.7016339,60.1609992
Rengasmaailma|24.6966799,60.1599546
Haltilanpolku|
Ikimetsä|
Peringintie|
Iivissyrjä|
Tulkinkuja|
Huvilinnantie|
Vemmelsäärentie 4|24.791093366666665,60.18382514444444
Vaihtokuja|
Tikasrinne|
Kilonkallionkuja|
Iiriskaari|
Aitovieri|
Vähäntorpantie|
Kuusikallionpolku|
Oksatie|
Ryytimaa|
Käräjäkuja|
Vesikuja|
Perkkaanpolku|
Kaivomestarinniitty|
Ilmattarenpolku|
Merenkäynti|
Jäähalli|24.7489643625,60.2459191375
Vehkaniityntie|
IKH|24.7049135,60.1644624
Esport Center|24.781808376470593,60.17557039411764
Puistotie|
Martinniitty|
Painiitynreitti|
Kompassikatu|
Humiseva|
Hilapellontie|
Kellonsoittajantie|
Lyökkiniemi|
Routakuja|
Mäenrinteenpolku|
Otakaari|
Taivalkuja|
Kiltaveljenpolku|
Latvatie|
Eestinkallion koulu|24.684491519999998,60.16592825333335
Felsundintie|
Haarakas|
Juvanpuiston koulu|24.753672075000004,60.27776235500001
Päiväkoti Onnentupa|24.6626325,60.208758
Alaniitynmäki|
Isovaarinkuja|
Opinkuja|
Kilon koulu|24.7711747,60.2099887
Pizza De La Paris|24.8055515,60.1764336
Jysk|24.6947617,60.1594977
Vehkakulma|
Sotaorvontie|
Siwa Kilonhovi|24.7797741,60.2182169
Lanttikatu|
Espoon Akilleen latukahvila|24.697069479999996,60.17739448
San Luca|24.7945543,60.1833229
Karakallion koulu|24.757731744444442,60.2297633111111
Rauduskoivunkuja|
Valopoiju|
Vaahteramäki|
Pehtorintie|
Honkavaarankuja|
Suinonkuja|
Kalliopuronpolku|
Shell Espoo Lahnus|24.7149539,60.3170742
Löydösmäki|
Menninkäisentie|
Tervalaakso|
Niittymaanaukea|
Kiiskenevä|
Mäntyviita|
Pirttipolku|
Lähderannan koulu|24.7440868,60.242947
Tulipaikka|24.5951758,60.2965076
Adjutantinkuja|
Vanha Kilontie|
Jyrkännetie|
Laulutie|
Valhalla|24.59181992,60.19281952
Telakuja|
Vuosikuja|
Nöykkiönkatu|
Illanhämynpolku|
Matinkappeli|24.745290914285714,60.15418515714286
Kuusisaarentie|
Karantie|
Entresse|24.6595467962963,60.20350068888888
Yhdyskunnankuja|
Soukanahde|
Mankkaanportin liikerakennus|24.767132600000004,60.19472377777778
Karakappeli|24.765166144444446,60.229408500000005
Nupurin päiväkoti|24.597402072727274,60.23868977272728
Jahtikuja|
Simpukkaranta|
Kytöpolku|
Rastaalantie|
Citymarket|24.7380444,60.1615071
Oravamäentie|
Neste Mankkaa|24.7679178,60.2052957
Ajurinmäen päiväkoti|24.8163628,60.2253094
Ohrakaskensyrjä|
Matasaarentie|
Miniatontie|
Matinkartanontie|
Leppävaaran kirkko|24.810628741860466,60.22606733720929
Kaskivuorenkuja|
Suohaukantie|
Ankeriaanpolku|
Myllyljärven (pohj.) uimapaikka|24.703474,60.3231535
Niittyrinteenkuja|
Building 3|24.756920613043476,60.224735865217404
Kavallinkuja|
Kotkakuja|
Leiviskätie|
Kätkökuja|
Kallvikinrinne|
Aseveljentie|
Viskaalinkuja|
Geologian tutkimuskeskus|24.829861665853663,60.180097263414645
Yläportti|
Niittykallio|
Oravatie|
Ikea noutovarasto|24.6507687,60.2173755
Runoratsun päiväkoti|24.7494632,60.2327802
Vahverotie|
Ampujankuja|
Kaitaankaarre|
Expert Suomenoja|24.6956697,60.1598116
Aamuyöntie|
Halujärventie|
Hämärniemi|
Syrjäkuja|
Lippulaiva|24.65581340434782,60.14904597826086
Soukansiimes|
Koulumestarintie|
Tuulenpesä|
Nepperintie|
Luutnantinkuja|
Vilpunkatu|
Saavikuja|
Soukanniemi|
Kiuastie|
Isonmäentie|
Kuttulammentie|
Nikunmäentie|
Hevosenkenkä|
Telamäenkuja|
Inexin päävarasto|24.75998268444445,60.21497641555556
Lumivaaran ykk|
Kirskupakka|
Meritorin koulu|24.63048948,60.153577459999994
Soukansyrjä|
Garden City Cafe|24.8015196,60.1764412
St1 Espoo Automat Auroranportti|24.6998622,60.2404625
Vermontie|
Pajuniitty|
Niittomiehentie|
MEauto|24.708733,60.1613984
Maneesipolku|
Olarinluoma|
Pajuviita|
Jalavapuiston koulu|24.665249390476188,60.19680493809524
Muolaantie|
Kiertokuja|
Carlitos|24.8126931,60.2174548
Hiirenkorvakuja|
Aalto|
Espoonlahdenkuja|
Spice Garden|24.8133125,60.2289814
Heinjoenpolku|
Kannunkulma|24.653826,60.2052888
Sodexo: Dipoli Buffet|24.8324056,60.1850245
Paasikuja|
Martinsilta|24.693473293333334,60.15917981333334
Kavallinrinne|
Shell Espoo Leppävaara|24.809868279999996,60.220642840000004
Ravintola Ranta|24.8364318,60.1840086
Paimenenkuja|
Puolarniitynkulma|
Rajarintintie|
Vuorikuja|
Suvelantie|
Kastevuorenraitti|
Haarssinpolku|
Metsätontunkuja|
Kuunkierros|
Shell Select Espoo Vallikallio|24.8240207,60.2271572
Örkkiniityntie|
Lansankuja|
Mainingin Koulu|24.643503407692307,60.15255201538461
Esbau|24.723092,60.1636088
Päivänkajontie|
Raitakuja|
Konstaapelinkatu|
Mustalammen tulentekopaikka|24.5120923,60.3055044
Pronssitie|
Westendinkatu|
Design Factory|24.831701260000006,60.18097441
Polaris|24.828280799999998,60.20952965384616
Näkinkaari|
Huvikumpu|24.6316293,60.20576998
Käärmesaarenkuja|
Sellosali|24.8082211,60.2176417
Kuurinkallio|
Ruutikuja|
Kiskottajanpolku|
Sateentie|
Keilaranta|
Kuitinmäenkaari|
Kulkuskuja|
Aallonhuipun päiväkoti|24.6389458,60.1504196
Aamutie|
Ullantorpantie|
Kantokaski|
Kulolaakso|
Pihkametsä|
Tiistinniitynreitti|
Klariksentie|
Stone Bay Inn|24.6425896,60.1539661
ABC Otaniemi|24.8250517,60.1790736
Meteorinkatu|
Kilpikuja|
Aalto TTA|24.82242130476191,60.187518666666676
Reittimäki|
Building 4|24.75731427826088,60.22350489565217
Kahdeksas huvilatie|
Pirtttimäen kahvila|24.650209477777775,60.27002936666666
Anttika Kodin 1|24.7061393,60.1627807
Bellintie|
Otaniementie|
Huhtamäentie|
Rehtorinkuja|
Lapinkyläntie|
Rajamaankuja|
Kiviporanpolku|
Raja- ja merivartiokoulu|24.8281317,60.1793822
Muurahaisentie|
Alalinnake|
Avoin päiväkoti avokas|24.7490109,60.1583375
Neste Olari|24.74710827142857,60.17021791428571
Hyttimestarinkuja|
Inglaksentie|
Tapiolan urheiluhalli|24.785342531578944,60.17882407894738
Gallows Bird|24.772661,60.170726
Kuurinniitynkuja|
Opel|24.7098439,60.1614296
Tapiolan Posti 02100|24.8019086,60.1763055
Ylänkötie|
Liinasaarenkuja|
Keittiömaailma|24.6983332,60.1599088
Sisämaantie|
Stockmann Tapiola; Etola|24.8047682,60.1747139
Korpikuja|
Lepinkäisentie|
Viides järvikuja|
Ahotie|
Björkön luonnonsuojelualue|24.64298995909091,60.12948466818181
Kotihaka|
Puolarmäki|
Henrikintie|
picnic_site|24.7863529,60.1063918
Soukansyrjänkuja|
Ariman Oy|24.7282213,60.1732209
Stensundinkuja|
Seitsemäs huvilatie|
Vanha Luukintie|
Posti Karakallio |24.7639587,60.2290264
Luukin uimaranta|24.6939461,60.313485
Kaivoskuja|
Nikkelikuja|
Purolehto|
Toppelundin koulu|24.78289623870968,60.161064619354846
Lukiotie|
Emilbergintie|
Kyyrölänkuja|
Träskändanristi|
Kuutamoinen|
Postipuunkuja|
Kumparekuja|
Seiliniitynpolku|
Auroran koulu|24.7151781,60.2318284
Stockmann Tapiola|24.8038559,60.175298
Vuorimiehenpolku|
Yläkaupinkuja|
OMNIA|24.6580894,60.2084398
Omnia|24.819921744117647,60.21505127647059
Malminmäenkaari|
Oxfotinkuja|
Suvelan kenttä|24.671340414285712,60.20280597142857
Tikasmäentie|
Korukuja|
Punavarpusentie|
Kivenlahden kirjasto|24.635783,60.1539846
Linturparvenpuisto|
Helmitauluntie|
Kultapolku|
Lasilaaksontie|
Asemakuja|
Mini-Tapiola|24.80499897142857,60.17582708571428
Puolikkotie|
Kaskisavu|
Olarin kirkko|24.759856416666665,60.17212217916667
Niittykummun koulu|24.76788947142857,60.170386371428584
Hämäläistentie|
Bemböle kaffestuga|24.673956216666667,60.22278756666666
Omeletti|24.7014269,60.1624103
Pisantie|
St1 Espoo Lähderanta|24.7415669,60.2401615
Back Office Services|24.7583157,60.1782736
Friisinniityntie|
Punavarpusenkuja|
Kilonkallio|
Mikkelänkallio|
Tikasmäenkuja|
Joupinrinne|
Oxfotintie|
Suomen Polkupyörätukku (Suomenoja)|24.700742,60.163725
Keltasirkuntie|
Skogbyntie|
Koivunkanto|
Hevostilantie|
Vanha Patteritie|
Postipuuntie|
Parturi Kampaamo Aalto|24.8307087,60.1843266
Viserryspuisto|24.810470116666664,60.233628466666666
Mankkaanaukio|
Otsonkallio|
Boställs daghem|24.828119212121212,60.22756715151516
Espoon Jalkapallohalli|24.592903755555554,60.19901594444444
Matinpurontie|
Everstinpuiston leikkikenttä|24.8238517,60.2121301
Shell Espoo Truck Ämmässuo|24.5401076,60.2480503
Kaivostie|
Kalkkipellontie|
Hellsten Espoo|24.8203775,60.2253557
Lähderannan päiväkoti|24.7440835,60.2441417
Mäenalus|
Inkoonkuja|
Tähystäjänkatu|
Kulmakorventie|
Malminhaka|
Ymmerstanmäki|
Törmänsilmänkuja|
Riistapolku|
Espoon kihlakunnan poliisilaitos|24.7620512,60.2084646
Hedelmäpuut|24.83199038,60.25075280000001
Piispansilta|
Nuolirinne|
Serena Ski|24.7377979,60.3249159
Kalenteritie|
Kuurinniityntie|
Kukkaromäki|
Liinasaarentie|
Hyttimestarintie|
Klovinkallio|
Sunankaari|
Aalto Kemian tekniikka|24.824567563157892,60.183512792105255
Mertatie|
Vanha Lahnuksentie|
Muurahaisenkuja|
Kortesmäki|
Amica: Tuas-talo|24.8194782,60.1872922
Kavallinsuontie|
Hopearinne|
Hirsitie|
Espoon yhteislyseon koulu ja lukio|24.59432282727273,60.188489918181816
Eestiläistenportti|
Rehtorintie|
Joupinmäenrinne|
Kaitaankulma|
Building 5|24.754194366666667,60.22426678333334
Sepetlahdentie|
Miilukorventie|
Pohjanpolku|
Kilpitie|
Pohjois-Tapiolan ostoskeskus|24.793610766666667,60.18326891111113
Ohrakuja|
Aamukuja|
Nupurinkalliontie|
Lukkarinojantie|
Eläinlääkäriasemat Remedium Oy|24.7216292,60.1636325
Fänriksgränden|
Herttuankallio|
Hauenkoukku|
Vuorikukantie|
Quartetto Plus: Fuuga|24.81061816666667,60.21252500833334
Nygrannaksentie|
Erik Bassen tie|
Sateenkuja|
Äraportti|
Sokinmäki|
Itä-länsi 1|
Vanha Hämeenkyläntie|
Hesburger Espoo Espoonlahti|24.6646508,60.1516553
Mellstenintie|
Kirkkoharju|
Ankkurisaarentie|
Lumivaaranpolku|
Kuhatienahde|
Valhallantie|
Rakentajainpolku|
Käärmesaarentie|
Shell TruckDiesel|24.5616849,60.2432803
Nikunpelto|
Masku|24.6929391,60.1594049
K-Market Liikenne Otaniemi|24.8270767,60.178313
Munkkiranta|
Kasvihuone|24.832038259999997,60.2504312
Avaruusrata|
Kaskipuunkaari|
Tiaisenpuisto|24.808029333333337,60.232716408333324
Ciao Cafe|24.6571926,60.1485611
Tinakuja|
Mesipolku|
Örkkiniitynkuja|
Tikaskuja|
Suokulma|
Antreantie|
Shell Espoo Bemböle|24.672297219999997,60.222791619999995
Shell Select Espoo Olari|24.7351867,60.1676014
Pub Iivisniemi|24.6920088,60.1491105
Lagstads skola|24.656961306666666,60.207267359999996
Myllytontuntie|
Rautakiskonkuja|
Solvallan uimapaikka|24.5554431,60.2925996
Lansantie|
Vuoritie|
Hansakallion koulu|24.592207233333333,60.19020193333333
Kallvikintie|
Viisastenpolku|
Seilimäki|
Vermonrinteenkuja|
Hirvensarvi|
Pizzeria Shine|24.6701415,60.2004433
Joupinlaaksonpolku|
K-market Kivenlahti|24.6351572,60.154406
Glo|24.8128442,60.2173327
Paasitie|
Kulopolku|
Tuhkurilammentie|
Espoon kynä ja kirja|24.8118235,60.1790346
Silkkiniityn päiväkoti|24.799668479999998,60.17978535333332
Kaksoiskiventie|
Petrifun Store|24.7388593,60.1609541
Anfallinpolku|
Sininärhentie|
Kätköpaikantie|
Lakiaukio|
Kiiskitie|
Espoonlahdentie|
Vermonkuja|
Kiertotie|
Lahnatie|
Metsäpirtinpolku|
Vanha Turuntie|
Nissinpuisto|
Erä-Mattilan tie|
Malmiportti|
Pumppaamo|24.833498279999997,60.23464656
Glims|24.6798036,60.2210185
Friisilän - Grillikioski|24.7214489,60.1629933
Suolaaksontie|
Isonmäenkuja|
Kiuaskuja|
Nelivaljakontie|
Balderinkuja|
Maarinrannantie|
Siikakuja|
Koulumestarinkuja|
Tuhkurintie|
Kehä II|
Rajamäentie|
Telamäentie|
Rinkelinpuisto|24.81231552857143,60.22253969999999
Indiana|24.739936,60.1574524
Ymmerstanportti|
Halujärvenkuja|
Aamuyönkuja|
Juvan teollisuuskatu|
Leppävaaran aluekirjasto|24.8100813,60.2174667
Joupinkallionpolku|
Nikunpellontörmä|
Vahverokuja|
Mahlakuja|
Huvilamäki|
Neste Suomenoja|24.7006566,60.1616035
Leilankuja|
Reivikuja|
Olarinkatu|
Suopuronniitty|
LN-Sushi Art|24.8128372,60.1792587
Oravakuja|
Merenneito|24.756459,60.1509152
Kalmarinpolku|
Leppäsillan päiväkoti|24.78521429,60.22772239000001
Lukukatu|
Keski-Espoon uimahalli|24.6593823,60.209917
Suohaukankuja|
Takamaa|
Building 6|24.753553475757567,60.22252865454548
Kirstinharju|
Liplatus|
Cafe Tarvaspää|24.838041041176467,60.206257052941176
Emännäntie|
Miniatonkuja|
Hesburger Espoo Leppävaara Sello|24.8117293,60.2180934
Kotkatie|
Kavallintie|
Viherkallion koulu|24.742837619047627,60.22999831904762
Palomäenportti|
Päiväkummuntie|
Rantakulma|
Biltema|24.639033311111113,60.1571435
Nuuniitynkuja|
Reservinkallio|
Holmanmäki|
Ylistörmä|
Kala-Maija|
Brynstensinkuja|
St1 Espoo Automat Olarinluoma|24.7603175,60.180261
Kuninkaanlahdentie|
Kuninkaistenportti|
Itä-länsi 2|
Kalevanvainio|
Jahtitie|
Samariantie|
Kattilantie|
Viherlaakson kampaamo|24.7420316,60.226905
Karhunkäpälä|
Kallvikin uimapaikka|24.5923104,60.1625122
Linkomäki|
Bar Café Hemingway´s|24.8021362,60.1766308
Metsäpolku|
Orvokkipolku|
Saunaniementie|
Ruskatie|
Auroran päiväkoti|24.7096842,60.2444553
Takojantie|
Karakallion monitoimitalo|24.76158954,60.22901384000001
Pesätie|
Nöykkiön koulu|24.6634978,60.168125028571424
Pehtorinkuja|
Finnsinmäki|
Karhukuja|
Luomanportti|
Tikankolo|
Koiratarha|24.633022583333332,60.15667786666666
Markantalo|24.7021604,60.1611668
Honkavaarantie|
Hiojankuja|
Kytöpellonrinne|
Kauklahdentie|
Laidunkuja|
X-Burger|24.8315908,60.183578
Soukanniitty|
Friisinkalliontie|
Vaasarinne|
Ensonkuja|
KIK-puisto|24.8268956625,60.18693428750001
Lipparinne|
Opintie|
Isovaarintie|
Matintie|
Lorella|24.8020987,60.1765214
Aalto Konetekniikka 2|24.825273415384615,60.18782626923077
Matra-Grillit|24.5784796,60.2396609
Leppävaarankatu|
Haukilahden paviljonki|24.7717431,60.1557202
Vehkaniitynkuja|
Alamäki|
Amiraalinsatama|
Lansanpurontie|
Nuottaniementie|
Veikkaustie|
Vesipirtintie|
Villa Elfvik|24.82237764,60.201703359999996
Vähäntorpankuja|
Koivukeppi|
Koronakatu|
Muuttolinnunreitti|
Laajalahden venevaja|24.8241417,60.2002679
Kauppakeskus Niittytori|24.760114669696964,60.16931180606062
Korpilammentie|
Terveyskuja|
Ingol Oy|24.75514861111111,60.21735858888889
Fonseenintie|
Tapiolan kirkko|24.80890501666667,60.177587358333334
Tapiontie|
Marjastajanpolku|
Sorvaranta|
Alepa|24.6698537,60.2005004
Sävelpolku|
Puolarmetsänkatu|
Alko Espoonlahti|24.6560248,60.1488768
Vallikallionkatu|
Suomen Lelumuseo Hevosenkenkä|24.7554128,60.1851037
Rantapolku|
Riksikuja|
Luhtapolku|
Eestintaival|
Nokkalanniementie|
Espoon käräjäoikeus|24.7638656,60.2084964
Kimmeltie|
Piispantilankuja|
Soukan kappeli|24.6723983,60.1393019
Vilniementie|
K-Extra Perkkaa|24.8249939,60.2155018
Anjankuja|
Tuohimäen päiväkoti|24.787680953333332,60.18039410666666
Halonhakkaajanpolku|
Myllykalliontie|
Nihtisillantie|
Nuottiranta|
Building 7|24.756108312500004,60.22202378749999
Rintamaantie|
St1 Espoo Truck Ämmässuontie|24.5420977,60.2473649
Snacky|24.7759922,60.1708512
Karhusuonkuja|
Keilarannan Helmi|24.8333576,60.1763878
Kedonkukantie|
Muuralankumpu|
Saunalahdenkatu|
Åminnenkuja|
Kotiharju|
Kuukausikuja|
Lilhemtinreitti|
Sinipiianpolku|
Heikunantie|
Kellonummentie|
Kipparinkatu|
Joupintie|
Itä-länsi 3|
Hankalahdentie|
Hanko Sushi|24.7385105,60.1619326
Hiidentie|
Äyräpääntie|
Peukaloisenpolku|
Karhunpesä|
Hirvisuontie|
Akateeminen Kirjakauppa|24.8035301,60.1757477
Building 10|24.7577344952381,60.222190499999996
Paimenten puisto|24.8401512,60.2260288
Kivipylväänkuja|
Boom|24.7391453,60.1616398
Reitti 2000|
K-Kenkä|24.8024704,60.1764349
Miilumäki|
Kaskikenttä|24.653398400000004,60.176614040000004
Vanha Jorvaksentie|
Latokaski|
Tuomikuja|
Kalliohaka|
Kattilaniemen leirikeskus|24.6220313,60.3009794
Hyljeveneentie|
Haukilahdenkatu|
Haapaniementie|
Vanha maantie|
Cafe Domino|24.7425826,60.22659
Kallvikin uimaranta|24.5927186,60.1622477
Verkkopolku|
Sports Academy|24.737714,60.1627979
Siwa Matinkylä|24.74546986,60.15563132
Nuolitie|
Soidinkorpi|
Tapiolan Lämpö|24.805740399999998,60.185099900000004
Mummon Tupa|24.6621731,60.20804
Roskikset|24.79320716,60.1859191
Martinsyrjä|
Vanha Rastaalantie|
Purometsä|
Lehtokuja|
Laurinlahden koulu|24.644243388888885,60.148445249999995
Hopeatie|
Tähtikalliontie|
Hyljemäenportti|
Aalto Konetekniikka 3|24.824175857894744,60.18812166842105
Makasiinitie|
Koukkutie|
Sökövikens skola|24.657017466666673,60.1448336625
Lohitie|
Heinämäenrinne|
Tynnyripolku|
Morris|24.740228,60.1574953
Koskelo|24.7150753,60.2559022
Amica: Kvarkki|24.8299239,60.1881615
Suvizza|24.6700876,60.2007097
Gorsu|24.83799432,60.18793720000001
Kanneljärventie|
Shell Espoo Vallikallio|24.8240007,60.2273109
Urjan tulentekopaikka|24.5945484,60.2969814
Piispanpiha|
Kesäkuja|
Täysikuu|
Isännäntie|
Karvarousku|
Huhtakoukku|
Leppävaaran Urheilu|24.8140021,60.2220934
Säterinkatu|
Tekniikantie|
Harjutie|
Johannes|24.836147,60.1637769
Muskettitie|
Mikkelän paloasema (asema 40)|24.6382639,60.2098598
Viherlaakson Terveysasema|24.74213854285714,60.22762925714286
Shell Select Espoo Leppävaara|24.8094438,60.2206174
Hannusmetsän luontopolku|
Lyijypolku|
Presso|24.7327114,60.1663462
Muukalaispuisto|24.811558781250003,60.2238348375
Kavallinpelto|
Venepuuntie|
Etelä-Suomen Pyörähuolto|24.8140835,60.2241911
Vantinportti|
Viherkallion päiväkoti|24.7462924,60.228631
Mankinjoentie|
Kurjenkellontie|
Nihtirinne|
Jälkimaininki|
Antaksenkuja|
Hirvimäentie|
Lasikuja|
Leppäkuja|
Nuuksion kansallispuisto|24.5253826,60.3098996
Kulloonmäentie|
Fortum tower|24.830777246153847,60.17492313076923
Ravintola Keilaranta|24.8367209,60.1758344
Lehtitie|
Volkswagen Center Espoo|24.7266381625,60.1648305
Jondalinkuja|
Naruportti|
Puistonpää|
Isonjärvenkallio|
Harjumäentie|
Kirjakuja|
El Armadillo|24.6619717,60.2078692
Neljästie|
Kalajärven terveyskeskus|24.7390606,60.3059509
Kristallikuja|
Kirstinsyrjä|
Coffee House|24.7380874,60.1618426
Matinkylän rantauimala|24.754699,60.1502768
Building 8|24.755869955555557,60.22242727777777
Pakarituvantie|
Parturi Länsituuli|24.8047033,60.1753417
Pitkänotkonpolku|
Siipi|
Lehtovuorenkatu|
Pajusirkuntie|
Karakallion sivuapteekki|24.7642591,60.2287614
Tarjoustalo Espoo, Mankkaa|24.7670897,60.2039146
Kikut|24.7266375,60.2707445
Ilmeentie|
Visakoivunkuja|
A Katsastus|24.75294773333334,60.20323570833333
Skataholmankuja|
Koivumäentie|
Nöykkiön päiväkoti|24.6639487,60.1669538
Kytöpellontie|
Takamaantie|
Tallimestarinkuja|
Lehtimäentie|
Itä-länsi 4|
Iirislahdenportti|
Kromitie|
Luukintie|
Turkistie|
Maarinpuro|
Kivenlahden Seurahuone|24.6355515,60.1541263
Pikkusirkuntie|
Building 11|24.758947455555553,60.22244627222223
Soukanlahdenreitti|
Ajurinkuja|
Kotipizza Suomenoja|24.7111792,60.1598616
Kirkkokorpi|
Degerbyntie|
Kalajärven koulu|24.7333047,60.3076994
Pizzataksi|24.6561329,60.2057123
Kauklahden puistotie|
Hyljekaari|
Puosunrinne|
Spektri; Kvintti|24.807145265384616,60.18712293846154
Jalokivikuja|
Karhuniityntie|
Myntinmäki|
Köysitie|
Muuritie|
Kukkumäenkuja|
Pitkäjärven VPK|24.767816579999998,60.25088741999999
Ravintola Terra|24.817907,60.2121935
Pikimäki|
Niittymäenkuja|
Nostoväentie|
Piilipuunpolku|
Hesburger Espoo Iso Omena|24.73813,60.16196
Mikkelän koulu ja päiväkoti|24.63214477058824,60.20537089705883
Metsälammenkuja|
Alaportti|
L'Oréal Finland|24.7607501875,60.1680038625
Lugnetintie|
Kirstinpiha|
Metropolia Ammattikorkeakoulu|24.80483293368421,60.22115409263158
Ullantorppa|
Nahkakuja|
Kiveliönrinne|
Tykkitie|
K-supermarket Kilo|24.7820124625,60.216707125
Amica Geologian tutkimuskeskus|24.8299819,60.1801838
Skataholmanpolku|
As.Oy Espoon Danrica|24.73555884,60.150956719999996
Lansankallionkuja|
Niittykuja|
Haltiankaari|
Aalto Konetekniikka 4|24.82611594666668,60.1887498
Råbackanraja|
Kalanokankuja|
Gr8 bowling|24.7366395,60.1640798
Harppuunakuja|
Amasra|24.6588956,60.2036865
Malminkorpi|
Kalajärven kuntorata|
Meteorinrata|
Friisinkuja|
Pekan pikapaino|24.715903914285715,60.235311528571415
Vanha Pisantie|
A-Link Arena|24.676979339999995,60.210056800000004
Koristepuut|24.831846383333332,60.250650449999995
Tervakuja|
Køgenpuisto|24.808225271428572,60.17715704285713
Kaurakaski|
Sierakiventie|
Sotaleskentie|
Nokkalanniemi|
Päiväpuisto|24.739865841666667,60.1694623
Pliitintorpantie|
Pyrstökuja|
Kirkkalankuja|
Aalto-yliopisto Sähkötekniikan korkeakoulu|24.831382116666667,60.18898857142857
Lambertinniitty|
Rantakuja|
Tapiolan terveysasema|24.798065060000006,60.17828501999999
Neste|24.7527983,60.1639181
Braskarna|
Westendin päiväkoti|24.79971624285714,60.163350442857144
Haukkalammentie|
Lintukorventie|
Hannu Olavinpojan tie|
Painiityn Kioski|24.8321793,60.2353252
Kevätkuja|
Luoteisrinne|
Nöykkiönlaaksontie|
Kuhatie|
Säynäväkuja|
Kaskenpolttajankuja|
Kino Tuomarila|24.6858464,60.204497
Otaniemen venesatama|24.838502971428575,60.18662208571429
Talkookuja|
Building 9|24.7560781,60.222678523076915
Metallimiehenkuja|
Hanikka|
Uudenkirkontie|
Luolamiehentie|
Lintumetsän koulu|24.819503751428574,60.23806867714286
Helsingintie|
Vähälänkuja|
Hansatie|
Suomenlahdentie|
Juvanpuistonkuja|
Shell Espoo Olari|24.7351586,60.1675568
Vanttilan koulu|24.614887950000004,60.18360076363637
Latvapolku|
Eestinkallionkuja|
Eräharju|
Hunajaportti|
Perkkaanpuiston koulu|24.8192379,60.2137692
Söderskogintorppa|
Patokuja|
Ollaksentie|
Länsimetro|24.8042997,60.1769565
Siuntiontie|
Kurtinniitynkuja|
Selkänuotankuja|
Alihaka|
Itä-länsi 5|
Koivu-Mankkaan tie|
Verkkokuja|
Tikasniityntie|
Lehtokukka|
Kummelivuorentie|
Alko Tapiola|24.8041315,60.1754442
Building 12|24.758380354545455,60.22312961818182
Koulutanhua|
Hannu Olavinpojan Puisto|24.82164088,60.2198441
Sorvarinne|
Voitontie|
Pellavaniementie|
Havermossavägen|
Isonpurontie|
Kaskipiha|
Iirislahdensilta|
Yläniitynkuja|
Pizza Center|24.7634276,60.2286603
Finnoonpuro|
Antinkuja|
HVDC Estlink|24.551590933333333,60.203926779999996
Kolmoislammen varaustulipaikka|24.5139864,60.2953477
Kantokaskenpolku|
Lasihytti|
Päivätie|
Lokirinne|
Vartijantupa|
Konemiehentie|
Kauppalanportti|
Westendinpuiston koulu|24.794598000000008,60.163816399999995
Tuurinmäentie|
Atoy Oy|24.6356496,60.161174
Matinkyläntie|
Grilli Toro|24.7968547,60.1873896
Rinnekaski|
Albergan promenadi|
Smökki|24.83653163333333,60.1884176111111
Meerlammentie|
Mariannantie|
Yläkallionrinne|
Leppälinnunrinne|
Arvelanmäki|
Ravitie|
Hauenevä|
Espoonlahden uimahalli|24.659301340000003,60.14646181333334
Suurpellon puistokatu|
Oravapolku|
